vocab_size,model_name,text_column,ngram,vectorizer,splitting_criterion,tree_max_depth,tree_max_features,accuracy
10000,DecisionTreeClassifier(),text_porter_stemmed,"(1, 3)",TfidfVectorizer,gini,30,sqrt,0.568
10000,DecisionTreeClassifier(),text_no_numerals,"(2, 2)",CountVectorizer,gini,30,,0.565
1000,DecisionTreeClassifier(),text_no_numerals,"(2, 2)",CountVectorizer,gini,30,,0.564
100,DecisionTreeClassifier(),text_no_numerals,"(2, 2)",TfidfVectorizer,gini,30,,0.557
10000,DecisionTreeClassifier(),text_no_numerals,"(2, 2)",TfidfVectorizer,gini,30,,0.556
1000,DecisionTreeClassifier(),text_no_numerals,"(2, 2)",TfidfVectorizer,gini,30,,0.556
10000,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 2)",TfidfVectorizer,gini,5,,0.555
1000,DecisionTreeClassifier(),text_porter_stemmed,"(1, 3)",CountVectorizer,gini,5,,0.554
100,DecisionTreeClassifier(),text_no_numerals,"(2, 2)",CountVectorizer,gini,30,sqrt,0.547
100,DecisionTreeClassifier(),text_lancaster_stemmed,"(2, 2)",TfidfVectorizer,gini,30,sqrt,0.545
100,DecisionTreeClassifier(),text_lancaster_stemmed,"(2, 2)",CountVectorizer,gini,30,,0.542
100,DecisionTreeClassifier(),text_lemmatized,"(2, 2)",CountVectorizer,gini,30,,0.542
1000,DecisionTreeClassifier(),text_lemmatized,"(2, 2)",TfidfVectorizer,gini,30,,0.541
1000,DecisionTreeClassifier(),text_lancaster_stemmed,"(2, 2)",TfidfVectorizer,gini,30,,0.541
100,DecisionTreeClassifier(),text_lemmatized,"(2, 2)",TfidfVectorizer,gini,30,log2,0.541
100,DecisionTreeClassifier(),text_porter_stemmed,"(2, 2)",TfidfVectorizer,gini,30,,0.54
1000,DecisionTreeClassifier(),text_lancaster_stemmed,"(2, 2)",CountVectorizer,gini,30,,0.54
10000,DecisionTreeClassifier(),text_no_sw,"(1, 3)",TfidfVectorizer,gini,5,,0.54
10000,DecisionTreeClassifier(),text_no_sw,"(1, 3)",CountVectorizer,gini,5,,0.539
1000,DecisionTreeClassifier(),text_no_sw,"(2, 2)",CountVectorizer,gini,30,sqrt,0.538
1000,DecisionTreeClassifier(),text_porter_stemmed,"(2, 2)",CountVectorizer,gini,30,,0.538
1000,DecisionTreeClassifier(),text_porter_stemmed,"(2, 2)",TfidfVectorizer,gini,30,,0.537
10000,DecisionTreeClassifier(),text_lemmatized,"(2, 2)",CountVectorizer,gini,10,,0.537
10000,DecisionTreeClassifier(),text_no_sw,"(2, 2)",CountVectorizer,gini,30,,0.537
10000,DecisionTreeClassifier(),text_lancaster_stemmed,"(2, 2)",TfidfVectorizer,gini,30,,0.536
10000,DecisionTreeClassifier(),text_lemmatized,"(2, 2)",TfidfVectorizer,gini,30,,0.536
1000,DecisionTreeClassifier(),text_no_sw,"(2, 2)",TfidfVectorizer,gini,30,,0.535
100,DecisionTreeClassifier(),text_no_sw,"(2, 2)",TfidfVectorizer,gini,30,log2,0.534
100,DecisionTreeClassifier(),text_no_sw,"(2, 2)",CountVectorizer,gini,30,,0.533
100,DecisionTreeClassifier(),text_porter_stemmed,"(2, 2)",CountVectorizer,gini,30,sqrt,0.531
10000,DecisionTreeClassifier(),text_porter_stemmed,"(2, 2)",CountVectorizer,gini,10,,0.53
10000,DecisionTreeClassifier(),text_lancaster_stemmed,"(2, 2)",CountVectorizer,gini,30,sqrt,0.529
10000,DecisionTreeClassifier(),text_no_sw,"(2, 2)",TfidfVectorizer,gini,10,,0.527
1000,DecisionTreeClassifier(),text_lemmatized,"(2, 2)",CountVectorizer,gini,30,sqrt,0.525
1000,DecisionTreeClassifier(),text_no_sw,"(1, 2)",CountVectorizer,gini,30,log2,0.524
10000,DecisionTreeClassifier(),text_porter_stemmed,"(2, 2)",TfidfVectorizer,gini,30,log2,0.518
