vocab_size,model_name,text_column,ngram,vectorizer,splitting_criterion,tree_max_depth,tree_max_features,accuracy
100,DecisionTreeClassifier(),text_no_sw,"(2, 2)","TfidfVectorizer(max_features=100, ngram_range=(2, 2))",gini,7,sqrt,0.5205
10000,DecisionTreeClassifier(),text_lancaster_stemmed,"(2, 2)","TfidfVectorizer(max_features=10000, ngram_range=(2, 2))",gini,7,,0.5165
10000,DecisionTreeClassifier(),text_no_sw,"(1, 2)","TfidfVectorizer(max_features=10000, ngram_range=(1, 2))",gini,5,sqrt,0.5155
1000,DecisionTreeClassifier(),text_lancaster_stemmed,"(2, 2)","CountVectorizer(max_features=1000, ngram_range=(2, 2))",gini,7,,0.5145
1000,DecisionTreeClassifier(),text_porter_stemmed,"(2, 2)","CountVectorizer(max_features=1000, ngram_range=(2, 2))",gini,7,,0.514
1000,DecisionTreeClassifier(),text_lancaster_stemmed,"(2, 2)","TfidfVectorizer(max_features=1000, ngram_range=(2, 2))",gini,7,,0.5135
10000,DecisionTreeClassifier(),text_lancaster_stemmed,"(2, 2)","CountVectorizer(max_features=10000, ngram_range=(2, 2))",gini,7,,0.5135
10000,DecisionTreeClassifier(),text_porter_stemmed,"(2, 2)","CountVectorizer(max_features=10000, ngram_range=(2, 2))",gini,7,,0.513
100,DecisionTreeClassifier(),text_lemmatized,"(2, 2)","TfidfVectorizer(max_features=100, ngram_range=(2, 2))",gini,7,sqrt,0.512
100,DecisionTreeClassifier(),text_lancaster_stemmed,"(2, 2)","CountVectorizer(max_features=100, ngram_range=(2, 2))",gini,5,,0.5115
1000,DecisionTreeClassifier(),text_lemmatized,"(2, 2)","CountVectorizer(max_features=1000, ngram_range=(2, 2))",gini,7,,0.51
100,DecisionTreeClassifier(),text_lemmatized,"(2, 2)","CountVectorizer(max_features=100, ngram_range=(2, 2))",gini,5,sqrt,0.5075
10000,DecisionTreeClassifier(),text_porter_stemmed,"(2, 2)","TfidfVectorizer(max_features=10000, ngram_range=(2, 2))",gini,5,,0.5075
100,DecisionTreeClassifier(),text_porter_stemmed,"(2, 2)","TfidfVectorizer(max_features=100, ngram_range=(2, 2))",gini,7,sqrt,0.507
100,DecisionTreeClassifier(),text_lancaster_stemmed,"(2, 2)","TfidfVectorizer(max_features=100, ngram_range=(2, 2))",gini,7,log2,0.499
1000,DecisionTreeClassifier(),text_porter_stemmed,"(2, 2)","TfidfVectorizer(max_features=1000, ngram_range=(2, 2))",gini,7,sqrt,0.4985
10000,DecisionTreeClassifier(),text_no_sw,"(2, 2)","TfidfVectorizer(max_features=10000, ngram_range=(2, 2))",gini,7,,0.4965
10000,DecisionTreeClassifier(),text_no_numerals,"(2, 2)","TfidfVectorizer(max_features=10000, ngram_range=(2, 2))",gini,7,sqrt,0.4955
1000,DecisionTreeClassifier(),text_no_sw,"(2, 2)","TfidfVectorizer(max_features=1000, ngram_range=(2, 2))",gini,5,,0.495
100,DecisionTreeClassifier(),text_no_sw,"(2, 2)","CountVectorizer(max_features=100, ngram_range=(2, 2))",gini,7,,0.4945
1000,DecisionTreeClassifier(),text_no_sw,"(2, 2)","CountVectorizer(max_features=1000, ngram_range=(2, 2))",gini,7,,0.4945
10000,DecisionTreeClassifier(),text_no_sw,"(2, 2)","CountVectorizer(max_features=10000, ngram_range=(2, 2))",gini,7,,0.494
